DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
140.58516,-1e+15
141.16515,-1e+15
141.17123,-1e+15
141.75124,-1e+15
141.75732,-1e+15
142.33733,-1e+15
142.34341,-1e+15
142.9234,-1e+15
142.92949,-1e+15
143.50949,-1e+15
143.51558,-1e+15
144.09557,-1e+15
144.10165,-1e+15
144.68166,-1e+15
144.68774,-1e+15
145.26775,-1e+15
145.27383,-1e+15
145.85382,-1e+15
145.85991,-1e+15
146.43991,-1e+15
146.446,-1e+15
147.02599,-1e+15
147.03207,-1e+15
147.61208,-1e+15
147.61816,-1e+15
148.19817,-1e+15
148.20425,-1e+15
148.78424,-1e+15
148.79033,-1e+15
149.37033,-1e+15
149.37642,-1e+15
149.95641,-1e+15
149.96249,-1e+15
150.5425,-1e+15
150.54858,-1e+15
151.12859,-1e+15
151.13467,-1e+15
151.71466,-1e+15
151.72075,-1e+15
152.30075,-1e+15
152.30684,-1e+15
152.88683,-1e+15
152.89291,-1e+15
153.47292,-1e+15
153.479,-1e+15
154.05901,-1e+15
154.06509,-1e+15
154.64508,-1e+15
154.65117,-1e+15
155.23117,-1e+15
155.23726,-1e+15
155.81725,-1e+15
155.82333,-1e+15
156.40334,-1e+15
156.40942,-1e+15
156.98943,-1e+15
156.99551,-1e+15
157.5755,-1e+15
157.58159,-1e+15
158.16159,-1e+15
158.16768,-1e+15
158.74767,-1e+15
158.75375,-1e+15
159.33376,-1e+15
159.33984,-1e+15
159.91985,-1e+15
159.92593,-1e+15
160.50592,-1e+15
160.51201,-1e+15
161.09201,-1e+15
161.0981,-1e+15
161.67809,-1e+15
161.68417,-1e+15
162.26418,-1e+15
162.27026,-1e+15
162.85027,-1e+15
162.85635,-1e+15
163.43634,-1e+15
163.44243,-1e+15
164.02243,-1e+15
164.02852,-1e+15
164.60851,-1e+15
164.61459,-1e+15
165.1946,-1e+15
165.20068,-1e+15
165.78069,-1e+15
165.78677,-1e+15
166.36676,-1e+15
166.37285,-1e+15
166.95285,-1e+15
166.95894,-1e+15
167.53893,-1e+15
167.54501,-1e+15
168.12502,-1e+15
168.1311,-1e+15
168.71111,-1e+15
168.71719,-1e+15
169.29718,-1e+15
169.30327,-1e+15
169.88327,-1e+15
169.88936,-1e+15
170.46935,-1e+15
170.47543,-1e+15
171.05544,-1e+15
171.06152,-1e+15
171.64153,-1e+15
171.64761,-1e+15
172.2276,-1e+15
172.23369,-1e+15
172.81369,-1e+15
172.81978,-1e+15
173.39977,-1e+15
173.40585,-1e+15
173.98586,-1e+15
173.99194,-1e+15
174.57195,-1e+15
174.57803,-1e+15
175.15802,-1e+15
175.16411,-1e+15
175.74411,-1e+15
175.7502,-1e+15
176.33018,-1e+15
176.33627,-1e+15
176.91628,-1e+15
176.92236,-1e+15
177.50237,-1e+15
177.50845,-1e+15
178.08844,-1e+15
178.09453,-1e+15
178.67453,-1e+15
178.68062,-1e+15
179.2606,-1e+15
179.26669,-1e+15
179.84669,-1e+15
179.85278,-1e+15
180.43279,-1e+15
180.43887,-1e+15
181.01886,-1e+15
181.02495,-1e+15
181.60495,-1e+15
181.61104,-1e+15
182.19102,-1e+15
182.19711,-1e+15
182.77711,-1e+15
182.7832,-1e+15
183.3632,-1e+15
183.36929,-1e+15
183.94928,-1e+15
183.95537,-1e+15
184.53537,-1e+15
184.54146,-1e+15
185.12144,-1e+15
185.12753,-1e+15
185.70753,-1e+15
185.71362,-1e+15
186.29362,-1e+15
186.29971,-1e+15
186.8797,-1e+15
186.88579,-1e+15
187.46579,-1e+15
187.47188,-1e+15
188.05186,-1e+15
188.05795,-1e+15
188.63795,-1e+15
188.64404,-1e+15
189.22404,-1e+15
189.23013,-1e+15
189.81012,-1e+15
189.81621,-1e+15
190.39621,-1e+15
190.4023,-1e+15
190.98228,-1e+15
190.98837,-1e+15
191.56837,-1e+15
191.57446,-1e+15
192.15446,-1e+15
